ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470574
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470575
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470576
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470577
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470595
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470617
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470618
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470619
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470620
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470630
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470636
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470632
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470633
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470634
"IDProduto não encontrado","E","Paises",0,"","",2,2,"Modelo Bordado","","",False,100,0,True,0,0,485,0,0,0,"","",False,False,"","","","","","","2.70x3.86m","","","",0,470635
