ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,VENDACONJUNTA,METADESCRIPTIONPROD,IDSFILTROITEM
"IDProduto não encontrado","E","Bandeiras de Mesa",346315,"BMCR001","Brasil - Cromado (25cm)",0,095,"Pedestal de Mesa Decorativo para 01 Bandeira do Brasil.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,16,0,0,0,"","",False,False,"brasil_cromado_p.jpg","brasil_cromado_m.jpg","brasil_cromado_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,BMCR005,BMCR003,BMCR002,BMCR004","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502298,"BMCR35","Brasil - Cromado (35cm)",0,15,"Pedestal de Mesa Decorativo para 01 Bandeira do Brasil.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,21,0,0,0,"","",True,False,"cromadonBrasil_p.jpg","cromadonBrasil_m.jpg","cromadonBrasil_m.jpg","","","","","","",3165,0,0,0,"Kit Mini,BMCRP35,BMCRE35,BMCRC35,BMCRH35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502341,"BANBR-CR35","Brasil - Cromado (Banner 35cm)",0,2,"Banner de Mesa Decorativo para 01 Bandeira do Brasil.","<span style=""color:#000;"">Banner de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,24,9,0,0,0,"","",True,False,"banBrasil_cromado_p.jpg","banBrasil_cromado_m.jpg","banBrasil_cromado_m.jpg","","","","","","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",267574,"BMCR002","Capitais - Cromado (25cm)",0,095,"Pedestal de Mesa Decorativo para 01 Bandeira - Capitais.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
• Caso o país não conste na lista, escolha um qualquer e solicite a substituição no campo ""Comentários"" no fechamento do pedido.
&nbsp</span>","",False,0,0,True,0,0,16,0,0,0,"","",False,False,"muncrmp.jpg","muncrmm.jpg","muncrmm.jpg","","","","","Aracaju,Belém,Belo Horizonte,Boa Vista,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Macéio,Manaus,Natal,Palmas,Porto Velho,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luis,São Paulo,Teresina,Vitória","",3165,0,0,0,"Kit Mini,BMCR001,BMCR005,BMCR003,BMCR004","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502302,"BMCRC35","Capitais - Cromado (35cm)",0,15,"Pedestal de Mesa Decorativo para 01 Bandeira das Capitais.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,21,0,0,0,"","",True,False,"cromadonCapital_p.jpg","cromadonCapital_m.jpg","cromadonCapital_m.jpg","","","","","Aracaju,Belém,Belo Horizonte,Boa Vista,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Velho,Porto Alegre,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luis,São Paulo,Teresina,Vitória","",3165,0,0,0,"Kit Mini,BMCR35,BMCRP35,BMCRE35,BMCRH35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502351,"BANCAP-CR35","Capitais - Cromado (Banner 35cm)",0,2,"Banner de Mesa Decorativo para 01 Bandeira das Capitais.","<span style=""color:#000;"">Banner de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,24,9,0,0,0,"","",True,False,"banCap_cromado_p.jpg","banCap_cromado_m.jpg","banCap_cromado_m.jpg","","","","","Aracaju,Belém,Belo Horizonte,Boa Vista,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Velho,Porto Alegre,Recife,Rio Branco,Rio de Janeiro,Salvador,São Luís,São Paulo,Teresina,Vitória","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",2671411,"BMCR003","Estados - Cromado (25cm)",0,095,"Pedestal de Mesa Decorativo para 01 Bandeira - Estados.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
• Caso o país não conste na lista, escolha um qualquer e solicite a substituição no campo ""Comentários"" no fechamento do pedido.
&nbsp</span>","",False,0,0,True,0,0,16,0,0,0,"","",False,False,"estado_cromado_p.jpg","estcrmm.jpg","estcrmm.jpg","10734,10735,10736,10737,10738,10739,10740,10741,10742,10743,10744,10745,10746,10747,10748,10749,10750,10751,10752,10753,10754,10755,10756,10757,10758,10759,10760","","","","","",3165,0,0,0,"Kit Mini,BMCR001,BMCR005,BMCR002,BMCR004","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502305,"BMCRE35","Estados - Cromado (35cm)",0,15,"Pedestal de Mesa Decorativo para 01 Bandeira dos Estados.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 14x20cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,21,0,0,0,"","",True,False,"cromadonEstado_p.jpg","cromadonEstado_m.jpg","cromadonEstado_m.jpg","10734,10735,10736,10737,10738,10739,10740,10741,10742,10743,10744,10745,10746,10747,10748,10749,10750,10751,10752,10753,10754,10755,10756,10757,10758,10759,10760","","","","","",3165,0,0,0,"Kit Mini,BMCR35,BMCRP35,BMCRC35,BMCRH35","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",3502356,"BANEST-CR35","Estados - Cromado (Banner 35cm)",0,2,"Banner de Mesa Decorativo para 01 Bandeira dos Estados.","<span style=""color:#000;"">Banner de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 35cm de altura total e a bandeira tem 9x25cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
&nbsp</span>","",False,0,0,True,0,0,24,9,0,0,0,"","",True,False,"banEst_cromado_p.jpg","banEst_cromado_m.jpg","banEst_cromado_m.jpg","10734,10735,10736,10737,10738,10739,10740,10741,10742,10743,10744,10745,10746,10747,10748,10749,10750,10751,10752,10753,10754,10755,10756,10757,10758,10759,10760","","","","","",3165,0,0,0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
"IDProduto não encontrado","E","Bandeiras de Mesa",2671412,"BMCR004","Históricas - Cromado (25cm)",0,095,"Pedestal de Mesa Decorativo para 01 Bandeira - Histórica.","<span style=""color:#000;"">Pedestal de Mesa decorativo ideal para reuniões, salas de aula, palestras, convenções, colecionadores, entre outros. Pedestal com 25cm de altura total e a bandeira tem 10x14cm.
Para modelos personalizados de bandeira, consulte-nos.

• Bandeira com uma face
• Caso o país não conste na lista, escolha um qualquer e solicite a substituição no campo ""Comentários"" no fechamento do pedido.
&nbsp</span>","",False,0,0,True,0,0,16,0,0,0,"","",False,False,"historica_cromado_p.jpg","historica_cromado_m.jpg","historica_cromado_m.jpg","","","3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,68518","","","",3165,0,0,0,"Kit Mini,BMCR001,BMCR005,BMCR003,BMCR002","",0,0,"","","",0,0,"",True,False,0,0,0,"","","","","","",""
