Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
A,Especial Brasil,486967,BBRS090,,0.4,Modelo Stampo,,,False,9411,0,True,0,0,80,75,0,0,01/06/2015,31/08/2015,False,True,,,,,,,0.90x1.28m,,,,3,486965,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,486970,BBRS112,,0.75,Modelo Stampo,,,False,918,0,True,0,0,105,0,0,0,,,False,False,,,,,,,1.12x1.60m,,,,2,486965,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,486971,BBRS135,,0.8,Modelo Stampo,,,False,9691,0,True,0,0,135,0,0,0,,,False,False,,,,,,,1.35x1.93m,,,,1,486965,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487521,BR09005,,0.4,Globo Bordado / Aplicado,,,False,809,0,True,0,0,120,0,0,0,,,False,False,,,,,,,0.90x1.28m,,,,17,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487522,BR11206,,0.75,Globo Bordado / Aplicado,,,False,9386,0,True,0,0,149,0,0,0,,,False,False,,,,,,,1.12x1.60m,,,,16,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487523,BR13507,,0.8,Globo Bordado / Aplicado,,,False,9615,10,True,0,0,170,0,0,0,,,False,False,,,,,,,1.35x1.93m,,,,15,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487524,BR15708,,0.9,Globo Bordado / Aplicado,,,False,9782,0,True,0,0,220,0,0,0,,,False,False,,,,,,,1.57x2.24m,,,,14,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487525,BR18009,,1.2,Globo Bordado / Aplicado,,,False,9900,0,True,0,0,340,0,0,0,,,False,False,,,,,,,1.80x2.56m,,,,14,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487526,BR22510,,1.7,Modelo Aplicado / Globo Stampo Digital,,,False,9937,0,True,0,0,450,0,0,0,,,False,False,,,,,,,2.25x3.20m,,,,12,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487527,BR27011,,2.2,Modelo Aplicado / Globo Stampo Digital,,,False,9973,0,True,0,0,590,0,0,0,,,False,False,,,,,,,2.70x3.86m,,,,11,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
A,Especial Brasil,487528,BR31512,,3.1,Modelo Aplicado / Globo Stampo Digital,,,False,9980,0,True,0,0,870,0,0,0,,,False,False,,,,,,,3.15x4.50m,,,,9,486961,,,,0,0,,,,0,0,,True,False,0,0,0,,,,,,,
